Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
ATP1ter,10.5988487891233,0.19935445322486,10.2081140608026,10.989583517444,1.60140074869092,25.8899565639722,10.3067232147783,0.17595083811972,9.96185957206362,10.6515868574929,3.7645104206563,25.2688306089003
BILGLCURte,0.529202656380461,0.0117889722908724,0.506096270690351,0.552309042070571,0.0149688067034933,1.26683997788972,0.439163432442273,0.0125496453645658,0.414566127527724,0.463760737356822,0.0151304948039271,1.28111205124401
BILIRED,0.224255547442854,0.00561686379275607,0.213246494409053,0.235264600476656,0.00120488358972121,0.625373129664725,0.198246822775661,0.00525745491503949,0.187942211142183,0.208551434409138,0.00338762867988707,0.701567099456024
EX_6htststerone_e,0,0,0,0,0,0,0,0,0,0,0,0
ATPasel_1,7.36078480855607,0.207889042787098,6.95332228469336,7.76824733241878,0.0416213283115328,22.3670494314105,3.24141311941441,0.0925830873851596,3.0599502681395,3.42287597068933,0.0355987008700593,9.45514497853988
ATPtx,165.098094366466,18.285632717089,129.258254240971,200.93793449196,-985.100387852401,996.65171852465,31.3260996019129,18.8289718921831,-5.57868530676608,68.2308845105918,-997.380845718791,980.979507092111
BACCL,0,0,0,0,0,0,0,0,0,0,0,0
BDHm,-981.146506712627,0.143795452033969,-981.428345798613,-980.86466762664,-989.458950746233,-972.410137976647,-990.441263528427,0.263490326023531,-990.957704567434,-989.924822489421,-999.153203578911,-967.841262097883
BHBtm,-981.146506712361,0.143795452035476,-981.428345798351,-980.864667626371,-989.458950746185,-972.410137976351,-990.441263528343,0.263490326022937,-990.957704567348,-989.924822489338,-999.153203578813,-967.841262097864
BILDGLCURt,0.523297396341629,0.011870777614514,0.500030672217182,0.546564120466077,-0.299518840884146,0.985860905933281,0.707069418169514,0.00745823343280484,0.692451280641217,0.721687555697812,0.193606065832755,0.975616981201164
BTNt2m,7.13343410014801e-31,5.81898468309199e-47,7.13343410014801e-31,7.13343410014801e-31,7.13343410014802e-31,7.13343410014802e-31,-4.54447218027243e-15,6.7387827215437e-31,-4.54447218027244e-15,-4.54447218027243e-15,-4.54447218027246e-15,-4.54447218027246e-15
BTNt3i_1,2.34351318440776,0.0830351833776756,2.18076422498751,2.506262143828,0.0590250503566594,8.2515392493361,8.01439713383651,0.199467488193385,7.62344085697747,8.40535341069554,0.181443087761191,21.6591361666818
BZtr,-38.5102358958839,1.02840266461781,-40.5259051185348,-36.494566673233,-143.17542958352,-0.197838732613729,-9.98167712228151,0.333061774746735,-10.6344782007851,-9.32887604377791,-29.0317934905792,-0.40192647733841
C160CPT1,-324.674134597815,1.80838598422406,-328.218571126895,-321.129698068736,-453.095308793183,-236.656286552012,-184.77968689924,1.99612634331104,-188.69209453213,-180.867279266351,-314.721696019761,-81.6406190123357
C160CPT2,-1275.18577008691,1.43547336506579,-1277.99929788244,-1272.37224229138,-1355.14602549549,-1187.30181868784,-1148.6742455116,2.21688731896896,-1153.01934465678,-1144.32914636642,-1285.9996690087,-1022.67080900992
C160CRNt,-292.56251775935,116.648452047895,-521.193483773224,-63.9315517454757,-6493.60572397281,5336.03658165652,-448.702020945154,129.903593591312,-703.313064384125,-194.090977506182,-6144.89227641619,5411.67837168469
C161CPT1,-163.362036053659,23.3670271136917,-209.161409196495,-117.562662910823,-1030.65598656356,969.515256573452,-103.873527127403,19.1948816040161,-141.495495071275,-66.2515591835317,-986.32901670259,925.099479921225
C161CPT12,153.502726522839,1.2343416490798,151.083416890642,155.922036155035,92.6643756000528,227.20244428174,11.3915846791523,0.317314068205497,10.7696491054695,12.0135202528351,-9.72554698968584,31.1971400803476
C161CPT2,-155.332861279589,23.3254205225392,-201.050685503766,-109.615037055413,-1008.45017850083,977.94975310834,-82.8172654071368,18.9858685689319,-120.029567802243,-45.6049630120302,-969.230520102027,943.869109035225
C161CRN2t,629.054234393034,110.820158118315,411.846724481138,846.261744304931,-4782.01905563303,6511.13393400392,1149.14940951718,107.193008548381,939.051112762352,1359.247706272,-4552.64960700405,6307.8440382048
C161CRNt,-155.332861279589,23.3254205225392,-201.050685503766,-109.615037055413,-1008.45017850083,977.94975310834,-82.8172654071368,18.9858685689319,-120.029567802243,-45.6049630120302,-969.230520102027,943.869109035225
C180CPT1,-56.7844882500435,0.469019177999198,-57.7037658389219,-55.865210661165,-83.4181018475649,-26.7405092850488,-39.7115013052079,0.3983676034038,-40.4923018078793,-38.9307008025364,-65.409478926629,-20.5159922499238
C181CPT1,63.8450873885034,16.9891645463865,30.5463248775859,97.143849899421,-867.078347492902,847.328658950327,87.7320122822115,17.673825372502,53.0913145521077,122.372710012315,-913.087156668686,944.134801168578
C181CRNt,-1267.64634451858,114.442414287647,-1491.95347652236,-1043.33921251479,-6525.31743497538,4877.17981999382,-1256.2287762877,105.840748885161,-1463.67664410262,-1048.78090847279,-6048.70060705836,6285.68877513078
C204CPT1,-5.76204967098041,0.107424048482556,-5.97260080600622,-5.5514985359546,-11.7551677436836,0.230142175967156,-1.15532025544703,0.127294267416069,-1.40481701958252,-0.905823491311531,-9.12546886092717,6.31462265501122
C204CPT2,-5.76204967097864,0.107424048482414,-5.97260080600417,-5.55149853595311,-11.755167743691,0.230142175898049,-1.15532025543981,0.127294267416154,-1.40481701957547,-0.905823491304152,-9.12546886100415,6.3146226550563
C226COAtx,0.577342105534214,0.100789112836852,0.379795444373983,0.774888766694444,-9.8900909689312,7.39276334785788,-1.84422416347481,0.182877191671991,-2.20266345915191,-1.48578486779771,-14.5625133969412,7.37154715814134
